"","[ 더기프트 ] 직매입 상품 판매 코드 리스트 CODE
NUMBER","브랜드","제품명","옵션명","구분","품목코드","재고","가용재고","TODAY","소비기한","남은기한","판매 가능일","10/20 출고 전 기준
실 재고","","CODE
NUMBER","브랜드","품목명","구분","품목코드","","","","","","","","","","","","","","","","","",""
"","268","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","269","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","270","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","271","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","272","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","273","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","274","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","275","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","276","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","277","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","278","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","279","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","280","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","281","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","282","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","283","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","284","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","285","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","286","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","287","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","288","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","289","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","290","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","291","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","292","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","293","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","294","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","295","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","296","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","297","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","298","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","299","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","300","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","301","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","302","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","303","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","304","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","305","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","306","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","307","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","308","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","309","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","310","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","311","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","312","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","313","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","314","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","315","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","316","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","317","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","318","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","319","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","320","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","321","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","322","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","323","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","324","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","325","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","326","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","327","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","328","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","329","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","330","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","331","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","332","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","333","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","334","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","335","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","336","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","337","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","338","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","339","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","340","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","341","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","342","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","343","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","344","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","345","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","346","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","347","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","348","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","349","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","350","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","351","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","352","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","353","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","354","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","355","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","356","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","357","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","358","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","359","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","360","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","361","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","362","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","363","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","364","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","365","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","366","","","","","","","","","","  - ","","","","","","","","","","","","","","","","","","","","","","","","","",""
